h,k,baseline_samples,sigma_mult,first_alert_date,alert_metric,lead_days_vs_postmortem,missed,pre_onset_alarms,stable_fp_total,stable_fp_neg,stable_fp_pos
3.0,0.25,10,0.5,2025-08-06,json_success_rate,42,false,2,5,2,3
3.0,0.25,10,1.0,2025-08-09,json_success_rate,39,false,2,5,2,3
3.0,0.25,10,2.0,2025-08-11,json_success_rate,37,false,2,5,2,3
3.0,0.25,30,0.5,2025-08-06,json_success_rate,42,false,0,3,3,0
3.0,0.25,30,1.0,2025-08-05,avg_output_length,43,false,0,3,3,0
3.0,0.25,30,2.0,2025-08-05,avg_output_length,43,false,0,3,3,0
3.0,0.25,50,0.5,2025-08-23,json_success_rate,25,false,0,2,1,1
3.0,0.25,50,1.0,2025-08-24,json_success_rate,24,false,0,2,1,1
3.0,0.25,50,2.0,2025-08-24,json_success_rate,24,false,0,2,2,0
3.0,0.5,10,0.5,2025-08-07,json_success_rate,41,false,1,3,0,3
3.0,0.5,10,1.0,2025-08-10,json_success_rate,38,false,1,3,0,3
3.0,0.5,10,2.0,2025-08-12,json_success_rate,36,false,1,1,0,1
3.0,0.5,30,0.5,2025-08-06,json_success_rate,42,false,0,1,0,1
3.0,0.5,30,1.0,2025-08-07,json_success_rate,41,false,0,1,0,1
3.0,0.5,30,2.0,2025-08-11,json_success_rate,37,false,0,1,1,0
3.0,0.5,50,0.5,2025-08-24,json_success_rate,24,false,0,1,0,1
3.0,0.5,50,1.0,2025-08-24,json_success_rate,24,false,0,1,0,1
3.0,0.5,50,2.0,2025-08-24,json_success_rate,24,false,0,1,1,0
3.0,0.75,10,0.5,2025-08-07,json_success_rate,41,false,1,3,0,3
3.0,0.75,10,1.0,2025-08-11,json_success_rate,37,false,1,3,0,3
3.0,0.75,10,2.0,2025-08-29,json_success_rate,19,false,1,1,0,1
3.0,0.75,30,0.5,2025-08-06,json_success_rate,42,false,0,1,0,1
3.0,0.75,30,1.0,2025-08-09,json_success_rate,39,false,0,1,0,1
3.0,0.75,30,2.0,2025-08-11,json_success_rate,37,false,0,0,0,0
3.0,0.75,50,0.5,2025-08-24,json_success_rate,24,false,0,1,0,1
3.0,0.75,50,1.0,2025-08-24,json_success_rate,24,false,0,1,0,1
3.0,0.75,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
3.0,1.0,10,0.5,2025-08-06,json_success_rate,42,false,1,2,1,1
3.0,1.0,10,1.0,2025-08-09,json_success_rate,39,false,1,2,1,1
3.0,1.0,10,2.0,2025-08-11,json_success_rate,37,false,1,1,1,0
3.0,1.0,30,0.5,2025-08-06,json_success_rate,42,false,0,1,0,1
3.0,1.0,30,1.0,2025-08-10,json_success_rate,38,false,0,1,0,1
3.0,1.0,30,2.0,2025-08-11,json_success_rate,37,false,0,0,0,0
3.0,1.0,50,0.5,2025-08-24,json_success_rate,24,false,0,0,0,0
3.0,1.0,50,1.0,2025-08-26,json_success_rate,22,false,0,0,0,0
3.0,1.0,50,2.0,2025-08-29,json_success_rate,19,false,0,0,0,0
4.0,0.25,10,0.5,2025-08-07,json_success_rate,41,false,2,6,3,3
4.0,0.25,10,1.0,2025-08-10,json_success_rate,38,false,2,6,3,3
4.0,0.25,10,2.0,2025-08-11,avg_output_length,37,false,2,4,3,1
4.0,0.25,30,0.5,2025-08-06,json_success_rate,42,false,0,1,0,1
4.0,0.25,30,1.0,2025-08-07,json_success_rate,41,false,0,1,0,1
4.0,0.25,30,2.0,2025-08-11,json_success_rate,37,false,0,1,0,1
4.0,0.25,50,0.5,2025-08-24,json_success_rate,24,false,0,1,0,1
4.0,0.25,50,1.0,2025-08-24,json_success_rate,24,false,0,1,0,1
4.0,0.25,50,2.0,2025-08-24,json_success_rate,24,false,0,1,1,0
4.0,0.5,10,0.5,2025-08-07,json_success_rate,41,false,1,2,0,2
4.0,0.5,10,1.0,2025-08-11,json_success_rate,37,false,1,3,0,3
4.0,0.5,10,2.0,2025-08-29,json_success_rate,19,false,1,1,0,1
4.0,0.5,30,0.5,2025-08-06,json_success_rate,42,false,0,1,0,1
4.0,0.5,30,1.0,2025-08-09,json_success_rate,39,false,0,1,0,1
4.0,0.5,30,2.0,2025-08-11,json_success_rate,37,false,0,0,0,0
